"script","exit","tiempo_s","estado","causa"
"sprint2_panel_longitudinal.py","0","108,4","OK",""
"sprint2_matrices_transicion.py","0","74,1","OK",""
"sprint2_territorial.py","0","0,4","OK",""
"sprint2_genero_ocde.py","0","61,1","OK",""
"sprint2_duckdb.py","0","67,7","OK",""
"sprint3_redes.py","0","64,2","OK",""
"sprint3_grafo_interactivo.py","0","53,7","OK",""
"sprint4_diversidad.py","0","82,4","OK",""
"sprint6_validacion_calidad.py","0","61,6","OK",""
"sprint6_tabla_maestra_ies.py","0","1,9","OK",""
"sprint6_ocde_composicion.py","1","57,5","ERROR","falta datos/raw/produccion_grupos.csv (gitignored)"
"sprint6_sankey_categoria.py","1","56,4","ERROR","kaleido no declarado (write_image)"
"sprint6_geografia_institucional.py","1","38,1","ERROR","UnicodeEncodeError (flecha U+2192 en print, Windows cp1252)"
"sprint6_sankey_territorial.py","1","2,7","ERROR","kaleido no declarado (write_image)"
"sprint5_produccion.py","1","49,7","ERROR","falta dataset de produccion (gitignored)"
"sprint5_duckdb.py","1","2,2","ERROR","falta dataset de produccion (gitignored)"
