"ruta","lenguaje","lineas","kb","carpeta"
"app\streamlit_app.py","Python","17","0,4","app"
"docs\manual.ipynb","Notebook","805","27","docs"
"notebooks\01_eda.ipynb","Notebook","240","6,7","notebooks"
"notebooks\tarea_anlisis_bases_de_datos\2019_codigo.py","Python","174","6,7","notebooks"
"notebooks\tarea_anlisis_bases_de_datos\datos_2021.ipynb","Notebook","2338","957,3","notebooks"
"notebooks\tarea_anlisis_bases_de_datos\inv_17_codigo_graficas.R","R","614","18,4","notebooks"
"notebooks\tarea_dimensiones_y_hechos\codigo_dimensiones_C.R","R","40","0,9","notebooks"
"notebooks\tarea_dimensiones_y_hechos\dimensiones.ipynb","Notebook","289","11,8","notebooks"
"notebooks\tarea_dimensiones_y_hechos\tabla_hechos_codigo.R","R","20","0,6","notebooks"
"notebooks\tarea_gran_tabla\analisis_de_clusters.R","R","94","2,6","notebooks"
"notebooks\tarea_gran_tabla\analisis_multivariado_base_gran_table.R","R","405","13,1","notebooks"
"notebooks\tarea_gran_tabla\analisis2.ipynb","Notebook","294","11,9","notebooks"
"notebooks\tarea_gran_tabla\codigo_analisis_univariado.py","Python","123","4,2","notebooks"
"notebooks\tarea_gran_tabla\codigo_creacion_gran_tabla_a_partir_del_modelo_estrella.py","Python","205","7,3","notebooks"
"notebooks\tarea_join\codigo_join.py","Python","26","0,8","notebooks"
"notebooks\tarea_tabla\arreglar_base_consultoria_7.R","R","125","3,4","notebooks"
"scripts\generar_manual.py","Python","610","22,1","scripts"
"scripts\sprint2_duckdb.py","Python","127","4,6","scripts"
"scripts\sprint2_genero_ocde.py","Python","182","6,8","scripts"
"scripts\sprint2_matrices_transicion.py","Python","125","4","scripts"
"scripts\sprint2_panel_longitudinal.py","Python","229","8,6","scripts"
"scripts\sprint2_territorial.py","Python","142","4,7","scripts"
"scripts\sprint3_grafo_interactivo.py","Python","72","2,1","scripts"
"scripts\sprint3_redes.py","Python","134","4,7","scripts"
"scripts\sprint4_diversidad.py","Python","172","6,8","scripts"
"scripts\sprint5_duckdb.py","Python","193","6,4","scripts"
"scripts\sprint5_produccion.py","Python","251","10,1","scripts"
"scripts\sprint6_geografia_institucional.py","Python","302","12,3","scripts"
"scripts\sprint6_ocde_composicion.py","Python","183","7,6","scripts"
"scripts\sprint6_sankey_categoria.py","Python","184","6,2","scripts"
"scripts\sprint6_sankey_territorial.py","Python","135","4,9","scripts"
"scripts\sprint6_tabla_maestra_ies.py","Python","635","39,6","scripts"
"scripts\sprint6_validacion_calidad.py","Python","121","4,3","scripts"
"src\__init__.py","Python","2","0,1","src"
"src\analisis\__init__.py","Python","80","2,4","src"
"src\analisis\calidad.py","Python","105","4,3","src"
"src\analisis\diversidad.py","Python","162","6,1","src"
"src\analisis\genero.py","Python","85","2,9","src"
"src\analisis\longitudinal.py","Python","207","7,2","src"
"src\analisis\produccion.py","Python","340","12,5","src"
"src\analisis\redes.py","Python","225","8,1","src"
"src\analisis\territorial.py","Python","107","3,3","src"
"src\ingesta\__init__.py","Python","53","1,9","src"
"src\ingesta\minciencias.py","Python","70","2,7","src"
"src\ingesta\produccion.py","Python","106","4","src"
"src\modelo\__init__.py","Python","2","0,1","src"
"src\modelo\dimensional.py","Python","286","9,2","src"
"src\Transformacion.py","Python","222","5,9","src"
"streamlit_app.py","Python","983","45,9","streamlit_app.py"
"tests\__init__.py","Python","0","0","tests"
"tests\test_ingesta.py","Python","8","0,2","tests"
